time,open,high,low,close,volume,ticker
2023-01-03,64190,65860,63940,65860,1496000,VNM
2023-01-04,66020,66540,65950,66540,1089800,VNM
2023-01-05,66540,68300,66280,68120,2469800,VNM
2023-01-06,67950,68120,66780,66950,1269700,VNM
2023-01-09,67040,67710,66780,67710,948300,VNM
2023-01-10,67870,68380,67630,67950,1196000,VNM
2023-01-11,67950,68460,66610,66610,1534700,VNM
2023-01-12,67040,67290,66540,67110,684900,VNM
2023-01-13,67290,68040,67210,67630,1449000,VNM
2023-01-16,67630,67790,66610,66610,654700,VNM
2023-01-17,67290,67950,66610,67870,1671400,VNM
2023-01-18,67870,68380,67710,68200,1297900,VNM
2023-01-19,67790,68380,67110,68200,2627700,VNM
2023-01-27,68300,68720,66780,67110,2331800,VNM
2023-01-30,67110,67110,66610,66610,1614000,VNM
2023-01-31,66460,66700,64510,64680,4817500,VNM
2023-02-01,65190,65290,64510,64760,1810400,VNM
2023-02-02,64930,65019,64349,64349,1494400,VNM
2023-02-03,64610,64680,63680,63770,1855200,VNM
2023-02-06,63680,65019,63680,64930,1910700,VNM
2023-02-07,65120,65120,63840,63840,1274400,VNM
2023-02-08,63940,64260,63510,63590,1550000,VNM
2023-02-09,63590,63770,62940,62940,1593600,VNM
2023-02-10,62940,63680,62940,63680,1236100,VNM
2023-02-13,63680,63680,62160,63180,1569000,VNM
2023-02-14,63180,63510,62420,62680,1073500,VNM
2023-02-15,62680,63770,62420,63770,1443500,VNM
2023-02-16,63770,64190,63420,64190,691300,VNM
2023-02-17,63840,64090,63180,63770,777000,VNM
2023-02-20,63770,65019,63330,65019,1385300,VNM
2023-02-21,65019,65120,64349,64760,888300,VNM
2023-02-22,64019,64349,63330,63330,1295600,VNM
2023-02-23,63330,64510,62420,63510,2327900,VNM
2023-02-24,63510,63770,62510,62680,1681000,VNM
2023-02-27,62680,63680,62080,63080,1112500,VNM
2023-02-28,63330,63680,63010,63330,1034300,VNM
2023-03-01,63010,64610,62940,64510,1635500,VNM
2023-03-02,64510,64510,63840,64190,1088800,VNM
2023-03-03,62940,64430,62940,63770,704200,VNM
2023-03-06,63770,64260,62940,62940,891800,VNM
2023-03-07,63680,63940,63330,63590,1170900,VNM
2023-03-08,63080,64190,62940,64190,1244400,VNM
2023-03-09,63940,64680,63940,64190,1389700,VNM
2023-03-10,64190,64760,63840,64510,1427700,VNM
2023-03-13,64430,64680,64260,64510,1824500,VNM
2023-03-14,64019,64510,63420,64260,1735100,VNM
2023-03-15,64260,64860,64190,64680,1960200,VNM
2023-03-16,64610,64680,63680,64090,1529200,VNM
2023-03-17,64090,64090,62510,62510,2432800,VNM
2023-03-20,62940,62940,62160,62340,1609600,VNM
2023-03-21,62420,63010,62250,62420,1350200,VNM
2023-03-22,62590,62680,62420,62420,710300,VNM
2023-03-23,62340,63180,62080,62760,1194400,VNM
2023-03-24,62940,63330,62760,62840,850300,VNM
2023-03-27,62940,62940,62340,62420,1212200,VNM
2023-03-28,62510,63180,62420,62590,1437800,VNM
2023-03-29,62680,62840,62420,62510,842100,VNM
2023-03-30,62680,63260,62590,63010,781300,VNM
2023-03-31,62940,63260,62420,62420,877700,VNM
2023-04-03,62590,62840,62250,62680,775400,VNM
2023-04-04,62420,62510,62250,62420,1659100,VNM
2023-04-05,62250,62760,62160,62420,903000,VNM
2023-04-06,62420,62590,62340,62340,866600,VNM
2023-04-07,62420,62680,62340,62680,702800,VNM
2023-04-10,62680,62680,62510,62590,764400,VNM
2023-04-11,62340,62510,62160,62420,717800,VNM
2023-04-12,62420,62420,62080,62080,910700,VNM
2023-04-13,62340,62420,61670,61750,812500,VNM
2023-04-14,61750,61850,61080,61080,1214800,VNM
2023-04-17,61080,61160,60150,60410,1216500,VNM
2023-04-18,60240,60660,60240,60500,712600,VNM
2023-04-19,61330,61330,60410,60410,690300,VNM
2023-04-20,60500,60900,60240,60730,783700,VNM
2023-04-21,60410,60410,59400,59740,971800,VNM
2023-04-24,59560,59640,58900,59150,1134600,VNM
2023-04-25,59150,59890,58550,58550,1267500,VNM
2023-04-26,58730,59500,58730,59500,858700,VNM
2023-04-27,59560,59560,58310,58550,1226400,VNM
2023-04-28,58550,58900,58480,58640,760200,VNM
2023-05-04,58730,58730,57380,57730,2491100,VNM
2023-05-05,57550,58060,57550,57880,660100,VNM
2023-05-08,57880,59070,57880,58810,1101700,VNM
2023-05-09,59400,59560,59150,59400,809200,VNM
2023-05-10,59400,59640,59150,59230,826800,VNM
2023-05-11,59150,59500,58730,58730,412100,VNM
2023-05-12,59070,59070,58310,58310,868600,VNM
2023-05-15,58640,58640,57880,57980,1436500,VNM
2023-05-16,57880,58480,57880,58390,1308100,VNM
2023-05-17,58480,58480,57730,57980,1788600,VNM
2023-05-18,57880,58730,57460,58150,2416100,VNM
2023-05-19,58240,58310,57550,57730,1059600,VNM
2023-05-22,57640,57880,57290,57290,1598700,VNM
2023-05-23,57060,57380,56200,56290,2671700,VNM
2023-05-24,56290,56540,55450,55640,2350000,VNM
2023-05-25,55540,56630,55380,56290,1305500,VNM
2023-05-26,56540,57060,56290,56290,904500,VNM
2023-05-29,56460,56810,56290,56290,1043600,VNM
2023-05-30,56290,56540,55790,55790,1770500,VNM
2023-05-31,56030,56030,55450,55450,1466600,VNM
2023-06-01,55450,55790,55380,55450,1214500,VNM
2023-06-02,55540,55640,54940,55290,2969700,VNM
2023-06-05,55790,56380,55540,55790,3323000,VNM
2023-06-06,56130,56130,55380,55720,3423000,VNM
2023-06-07,55790,55960,55380,55540,3719000,VNM
2023-06-08,55790,55790,54940,54940,5036500,VNM
2023-06-09,55040,55790,54940,55190,2080200,VNM
2023-06-12,55380,57060,55380,56980,5450300,VNM
2023-06-13,57140,57290,56630,56720,4943400,VNM
2023-06-14,56810,57210,56290,56290,4910200,VNM
2023-06-15,56460,56540,55540,55640,4687800,VNM
2023-06-16,55790,55890,55380,55450,5993000,VNM
2023-06-19,55640,55890,55040,55190,3279400,VNM
2023-06-20,55290,55290,54940,54940,2963000,VNM
2023-06-21,55040,55640,54940,55640,3490900,VNM
2023-06-22,55790,56460,55640,56130,5610600,VNM
2023-06-23,56200,58310,56200,57980,11958000,VNM
2023-06-26,58150,59320,57290,59230,10737800,VNM
2023-06-27,59400,59400,58390,59150,5978900,VNM
2023-06-28,59150,59500,58480,59230,6154700,VNM
2023-06-29,59230,60730,58810,60330,7698400,VNM
2023-06-30,60330,60410,59400,59560,3645000,VNM
2023-07-03,59640,59890,58980,59320,3186200,VNM
2023-07-04,59150,59740,58810,59230,4781600,VNM
2023-07-05,59400,59400,58390,58550,6659200,VNM
2023-07-06,58640,59320,58550,59150,7631000,VNM
2023-07-07,59320,59740,59070,59500,5780500,VNM
2023-07-10,59890,60990,59740,60500,6171100,VNM
2023-07-11,60500,61590,60150,61080,5702300,VNM
2023-07-12,61160,61670,60900,61670,4195800,VNM
2023-07-13,61590,61920,61160,61330,3783500,VNM
2023-07-14,61410,61590,60500,61500,5209700,VNM
2023-07-17,61240,61750,60580,60660,3922800,VNM
